iter	Passed	Remaining
185	834	3652
186	839	3649
187	843	3644
188	848	3639
189	853	3637
190	857	3631
191	860	3623
192	866	3623
193	871	3621
194	875	3614
195	881	3616
196	886	3612
197	890	3608
198	896	3608
199	901	3605
200	905	3600
201	911	3599
202	915	3594
203	919	3588
204	924	3584
205	928	3580
206	931	3568
207	934	3557
208	936	3544
209	940	3538
210	943	3528
211	946	3516
212	948	3503
213	950	3489
214	952	3477
215	955	3468
216	957	3455
217	959	3441
218	961	3428
219	963	3416
220	965	3403
221	968	3394
222	971	3383
223	972	3370
224	975	3358
225	976	3345
226	978	3333
227	980	3321
228	983	3311
229	985	3300
230	987	3288
231	989	3276
232	991	3264
233	993	3252
234	995	3241
235	998	3233
236	1000	3222
237	1002	3210
238	1004	3199
239	1006	3187
240	1008	3176
241	1010	3165
242	1013	3157
243	1015	3147
244	1017	3136
245	1019	3125
246	1021	3114
247	1023	3103
248	1025	3092
249	1028	3084
250	1030	3074
251	1032	3063
252	1034	3053
253	1036	3042
254	1037	3032
255	1039	3022
256	1044	3019
257	1048	3014
258	1051	3009
259	1056	3007
260	1062	3007
261	1066	3003
262	1070	2999
263	1075	2999
264	1079	2994
265	1083	2990
266	1088	2989
267	1093	2985
268	1097	2982
269	1102	2979
270	1107	2978
271	1111	2973
272	1114	2969
273	1120	2967
274	1124	2964
275	1128	2960
276	1133	2959
277	1138	2955
278	1142	2952
279	1147	2949
280	1152	2947
281	1156	2944
282	1160	2940
283	1165	2938
284	1169	2934
285	1173	2930
286	1179	2929
287	1183	2925
288	1187	2922
289	1191	2917
290	1196	2915
291	1200	2911
292	1205	2908
293	1210	2905
294	1214	2902
295	1219	2899
296	1226	2902
297	1230	2899
298	1235	2895
299	1240	2895
300	1243	2887
301	1246	2879
302	1248	2871
303	1251	2864
304	1255	2859
305	1257	2852
306	1260	2844
307	1262	2837
308	1265	2829
309	1268	2824
310	1273	2820
311	1276	2815
312	1280	2811
313	1285	2809
314	1290	2805
315	1294	2801
316	1299	2798
317	1303	2795
318	1307	2790
319	1312	2788
320	1316	2785
321	1320	2781
322	1324	2776
323	1329	2773
324	1333	2769
325	1335	2762
326	1338	2755
327	1341	2748
328	1345	2744
329	1348	2737
330	1350	2730
331	1353	2723
332	1357	2718
333	1360	2713
334	1363	2707
335	1366	2700
336	1368	2692
337	1371	2686
338	1374	2680
339	1376	2671
340	1378	2663
341	1379	2654
342	1381	2646
343	1383	2638
344	1385	2629
345	1388	2624
346	1389	2615
347	1391	2607
348	1393	2599
349	1395	2591
350	1397	2583
351	1398	2575
352	1401	2568
353	1404	2562
354	1405	2554
355	1407	2546
356	1409	2538
357	1411	2531
358	1413	2523
359	1415	2516
360	1418	2510
361	1420	2503
362	1422	2495
363	1424	2488
364	1426	2480
365	1427	2473
366	1429	2466
367	1432	2460
368	1435	2454
369	1436	2446
370	1438	2439
371	1440	2432
372	1442	2424
373	1444	2417
374	1446	2411
375	1449	2405
376	1451	2398
377	1453	2391
378	1454	2383
379	1456	2376
380	1458	2369
381	1460	2362
382	1463	2357
383	1466	2352
384	1470	2348
385	1473	2344
386	1477	2340
387	1481	2337
388	1485	2332
389	1488	2328
390	1492	2324
391	1496	2321
392	1500	2317
393	1503	2312
394	1507	2309
395	1511	2305
396	1515	2301
397	1518	2297
398	1521	2292
399	1525	2287
400	1527	2281
401	1529	2275
402	1531	2268
403	1533	2261
404	1534	2254
405	1537	2248
406	1540	2243
407	1541	2237
408	1543	2230
409	1545	2223
410	1547	2217
411	1549	2211
412	1552	2206
413	1554	2199
414	1556	2193
415	1557	2186
416	1559	2180
417	1561	2174
418	1563	2167
419	1566	2163
420	1569	2159
421	1573	2154
422	1576	2150
423	1580	2147
424	1584	2144
425	1588	2139
426	1591	2135
427	1595	2132
428	1599	2128
429	1602	2124
430	1606	2120
431	1609	2116
432	1613	2113
433	1617	2109
434	1620	2104
435	1623	2100
436	1628	2098
437	1632	2094
438	1635	2090
439	1639	2087
440	1644	2084
441	1648	2081
442	1652	2078
443	1659	2077
444	1662	2074
445	1666	2070
446	1670	2066
447	1676	2065
448	1680	2062
449	1685	2060
450	1691	2058
451	1695	2055
452	1699	2052
453	1704	2050
454	1708	2046
455	1713	2043
456	1718	2042
457	1722	2038
458	1726	2035
459	1731	2032
460	1736	2029
461	1739	2025
462	1743	2022
463	1750	2021
464	1755	2019
465	1759	2016
466	1765	2014
467	1769	2011
468	1774	2009
469	1780	2007
470	1784	2004
471	1789	2002
472	1795	2000
473	1800	1997
474	1805	1995
475	1810	1993
476	1814	1989
477	1818	1986
478	1823	1983
479	1827	1979
480	1831	1976
481	1836	1973
482	1840	1970
483	1844	1966
484	1849	1963
485	1854	1960
486	1858	1957
487	1862	1953
488	1866	1950
489	1871	1947
490	1875	1944
491	1879	1940
492	1884	1937
493	1888	1934
494	1892	1930
495	1897	1928
496	1901	1924
497	1905	1920
498	1909	1917
499	1914	1914
500	1918	1910
501	1922	1907
502	1927	1904
503	1931	1901
504	1935	1897
505	1939	1893
506	1944	1890
507	1948	1887
508	1952	1883
509	1957	1880
510	1961	1877
511	1965	1873
512	1970	1870
513	1974	1867
514	1978	1863
515	1982	1859
516	1986	1856
517	1990	1852
518	1994	1848
519	1999	1845
520	2003	1842
521	2006	1837
522	2008	1832
523	2011	1827
524	2013	1821
525	2016	1817
526	2018	1811
527	2020	1806
528	2022	1800
529	2024	1795
530	2026	1790
531	2029	1784
532	2032	1780
533	2034	1775
534	2035	1769
535	2037	1763
536	2039	1758
537	2041	1752
538	2042	1747
539	2045	1742
540	2049	1738
541	2052	1734
542	2055	1729
543	2058	1725
544	2062	1721
545	2065	1717
546	2068	1713
547	2071	1708
548	2075	1705
549	2079	1701
550	2082	1697
551	2085	1692
552	2088	1688
553	2093	1685
554	2096	1680
555	2099	1676
556	2102	1672
557	2106	1668
558	2109	1664
559	2112	1660
560	2115	1655
561	2118	1651
562	2122	1647
563	2125	1643
564	2128	1638
565	2131	1634
566	2134	1630
567	2138	1626
568	2141	1622
569	2144	1617
570	2147	1613
571	2151	1609
572	2154	1605
573	2157	1601
574	2161	1597
575	2164	1593
576	2168	1589
577	2171	1585
578	2175	1581
579	2178	1577
580	2182	1573
581	2185	1569
582	2188	1565
583	2191	1561
584	2195	1557
585	2198	1553
586	2201	1549
587	2204	1544
588	2207	1540
589	2211	1536
590	2214	1532
591	2217	1528
592	2220	1524
593	2223	1520
594	2227	1516
595	2230	1512
596	2234	1508
597	2237	1503
598	2240	1499
599	2244	1496
600	2247	1492
601	2249	1487
602	2252	1482
603	2254	1478
604	2257	1473
605	2259	1469
606	2261	1464
607	2264	1459
608	2266	1455
609	2268	1450
610	2271	1446
611	2273	1441
612	2276	1436
613	2278	1432
614	2280	1427
615	2282	1423
616	2285	1418
617	2288	1414
618	2290	1409
619	2293	1405
620	2295	1400
621	2297	1396
622	2299	1391
623	2302	1387
624	2304	1382
625	2307	1378
626	2309	1373
627	2311	1369
628	2313	1364
629	2317	1360
630	2319	1356
631	2321	1351
632	2323	1347
633	2326	1342
634	2328	1338
635	2331	1334
636	2333	1330
637	2335	1325
638	2338	1321
639	2340	1316
640	2342	1312
641	2345	1307
642	2350	1304
643	2354	1301
644	2358	1298
645	2363	1295
646	2367	1291
647	2371	1288
648	2376	1285
649	2380	1282
650	2385	1278
651	2389	1275
652	2395	1272
653	2400	1269
654	2404	1266
655	2410	1264
656	2415	1261
657	2420	1258
658	2426	1255
659	2430	1252
660	2435	1249
661	2440	1245
662	2444	1242
663	2448	1238
664	2453	1236
665	2458	1232
666	2462	1229
667	2466	1226
668	2471	1222
669	2475	1219
670	2480	1216
671	2484	1212
672	2488	1209
673	2493	1205
674	2497	1202
675	2501	1199
676	2505	1195
677	2509	1192
678	2515	1189
679	2519	1185
680	2523	1182
681	2528	1178
682	2532	1175
683	2536	1172
684	2541	1168
685	2546	1165
686	2550	1162
687	2554	1158
688	2559	1155
689	2563	1151
690	2567	1148
691	2572	1144
692	2576	1141
693	2581	1138
694	2585	1134
695	2590	1131
696	2594	1127
697	2597	1124
698	2602	1120
699	2607	1117
700	2610	1113
701	2615	1110
702	2620	1106
703	2623	1103
704	2628	1099
705	2632	1096
706	2637	1092
707	2641	1089
708	2645	1085
709	2651	1082
710	2654	1079
711	2659	1075
712	2664	1072
713	2668	1068
714	2672	1065
715	2677	1062
716	2683	1059
717	2688	1055
718	2693	1052
719	2698	1049
720	2703	1046
721	2709	1043
722	2714	1039
723	2718	1036
724	2723	1033
725	2728	1029
726	2732	1026
727	2737	1022
728	2743	1019
729	2747	1016
730	2751	1012
731	2757	1009
732	2762	1006
733	2767	1002
734	2772	999
735	2777	996
736	2781	992
737	2787	989
738	2792	986
739	2796	982
740	2801	979
741	2806	975
742	2811	972
743	2817	969
744	2823	966
745	2829	963
746	2834	960
747	2839	956
748	2845	953
749	2850	950
750	2854	946
751	2860	943
752	2864	939
753	2869	936
754	2874	932
755	2879	929
756	2882	925
757	2885	921
758	2889	917
759	2891	913
760	2893	908
761	2895	904
762	2897	900
763	2899	895
764	2901	891
765	2903	886
766	2905	882
767	2907	878
768	2908	873
769	2910	869
770	2912	865
771	2914	860
772	2916	856
773	2918	852
774	2920	847
775	2922	843
776	2924	839
777	2925	834
778	2927	830
779	2929	826
780	2931	821
781	2933	817
782	2935	813
783	2937	809
784	2938	804
785	2940	800
786	2942	796
787	2944	792
788	2945	787
789	2948	783
790	2950	779
791	2952	775
792	2954	771
793	2956	767
794	2958	762
795	2960	758
796	2963	754
797	2965	750
798	2967	746
799	2969	742
800	2971	738
801	2973	734
802	2975	730
803	2978	726
804	2980	721
805	2982	717
806	2984	713
807	2986	709
808	2988	705
809	2990	701
810	2992	697
811	2995	693
812	2997	689
813	2999	685
814	3000	681
815	3002	677
816	3004	673
817	3007	669
818	3009	665
819	3011	661
820	3013	657
821	3015	652
822	3017	648
823	3019	644
824	3021	640
825	3024	637
826	3026	633
827	3028	629
828	3030	625
829	3032	621
830	3034	617
831	3036	613
832	3039	609
833	3041	605
834	3043	601
835	3045	597
836	3047	593
837	3049	589
838	3051	585
839	3054	581
840	3057	578
841	3060	574
842	3063	570
843	3066	566
844	3070	563
845	3073	559
846	3076	555
847	3079	552
848	3083	548
849	3086	544
850	3090	541
851	3093	537
852	3096	533
853	3100	530
854	3103	526
855	3106	522
856	3109	518
857	3112	515
858	3117	511
859	3120	507
860	3123	504
861	3126	500
862	3130	496
863	3133	493
864	3136	489
865	3139	485
866	3142	482
867	3146	478
868	3149	474
869	3152	471
870	3155	467
871	3159	463
872	3162	460
873	3165	456
874	3168	452
875	3171	448
876	3176	445
877	3179	441
878	3182	438
879	3185	434
880	3189	430
881	3193	427
882	3196	423
883	3199	419
884	3202	416
885	3207	412
886	3211	409
887	3214	405
888	3218	401
889	3223	398
890	3226	394
891	3229	391
892	3232	387
893	3236	383
894	3239	380
895	3242	376
896	3245	372
897	3249	369
898	3252	365
899	3256	361
900	3259	358
901	3262	354
902	3266	350
903	3269	347
904	3272	343
905	3275	339
906	3278	336
907	3282	332
908	3287	329
909	3292	325
910	3297	322
911	3302	318
912	3307	315
913	3313	311
914	3318	308
915	3323	304
916	3329	301
917	3333	297
918	3338	294
919	3344	290
920	3348	287
921	3353	283
922	3358	280
923	3363	276
924	3367	273
925	3372	269
926	3377	266
927	3382	262
928	3387	258
929	3392	255
930	3397	251
931	3402	248
932	3407	244
933	3412	241
934	3417	237
935	3422	233
936	3426	230
937	3431	226
938	3436	223
939	3440	219
940	3445	216
941	3451	212
942	3456	208
943	3461	205
944	3466	201
945	3471	198
946	3477	194
947	3482	191
948	3486	187
949	3492	183
950	3497	180
951	3502	176
952	3508	173
953	3513	169
954	3518	165
955	3523	162
956	3528	158
957	3532	154
958	3538	151
959	3542	147
960	3547	143
961	3552	140
962	3557	136
963	3562	133
964	3567	129
965	3572	125
966	3576	122
967	3581	118
968	3586	114
969	3591	111
970	3597	107
971	3603	103
972	3608	100
973	3614	96
974	3620	92
975	3624	89
976	3628	85
977	3630	81
978	3633	77
979	3635	74
980	3637	70
981	3639	66
982	3642	62
983	3644	59
984	3645	55
985	3647	51
986	3649	48
987	3651	44
988	3652	40
989	3658	36
990	3662	33
991	3665	29
992	3669	25
993	3674	22
994	3677	18
995	3681	14
996	3684	11
997	3688	7
998	3692	3
999	3695	0
